Sector,Fecha,Hora,Mp10,Mp2_5
centro ,22/04/2019,1,63,58
universidad ,22/04/2019,1,105,103
centro ,22/04/2019,2,19,18
universidad ,22/04/2019,2,61,59
centro ,22/04/2019,3,19,18
universidad ,22/04/2019,3,46,44
centro ,22/04/2019,4,13,11
universidad ,22/04/2019,4,26,24
centro ,22/04/2019,5,15,13
universidad ,22/04/2019,5,17,15
centro ,22/04/2019,6,14,13
universidad ,22/04/2019,6,13,12
centro ,22/04/2019,7,21,19
universidad ,22/04/2019,7,15,14
centro ,22/04/2019,8,20,18
universidad ,22/04/2019,8,13,12
centro ,22/04/2019,9,20,19
universidad ,22/04/2019,9,15,14
centro ,22/04/2019,10,22,21
universidad ,22/04/2019,10,16,15
centro ,22/04/2019,11,18,17
universidad ,22/04/2019,11,15,14
centro ,22/04/2019,12,26,24
universidad ,22/04/2019,12,12,11
centro ,22/04/2019,13,21,20
universidad ,22/04/2019,13,13,12
centro ,22/04/2019,14,21,20
universidad ,22/04/2019,14,17,16
centro ,22/04/2019,15,24,23
universidad ,22/04/2019,15,14,13
centro ,22/04/2019,16,26,25
universidad ,22/04/2019,16,17,16
centro ,22/04/2019,17,21,20
universidad ,22/04/2019,17,19,18
centro ,22/04/2019,18,27,26
universidad ,22/04/2019,18,21,20
centro ,22/04/2019,19,33,31
universidad ,22/04/2019,19,28,27
centro ,22/04/2019,20,43,40
universidad ,22/04/2019,20,42,40
centro ,22/04/2019,21,34,32
universidad ,22/04/2019,21,35,33
centro ,22/04/2019,22,30,28
universidad ,22/04/2019,22,46,44
centro ,22/04/2019,23,21,20
universidad ,22/04/2019,23,29,27
centro ,23/04/2019,0,14,13
universidad ,23/04/2019,0,25,23
centro ,23/04/2019,1,13,12
universidad ,23/04/2019,1,22,21
centro ,23/04/2019,2,11,10
universidad ,23/04/2019,2,15,14
centro ,23/04/2019,3,9,8
universidad ,23/04/2019,3,10,9
centro ,23/04/2019,4,7,6
universidad ,23/04/2019,4,8,7
centro ,23/04/2019,5,6,5
universidad ,23/04/2019,5,8,7
centro ,23/04/2019,6,5,5
universidad ,23/04/2019,6,6,5
centro ,23/04/2019,7,6,6
universidad ,23/04/2019,7,6,5
centro ,23/04/2019,8,10,9
universidad ,23/04/2019,8,6,5
centro ,23/04/2019,9,17,15
universidad ,23/04/2019,9,7,6
centro ,23/04/2019,10,20,19
universidad ,23/04/2019,10,10,9
centro ,23/04/2019,11,22,20
universidad ,23/04/2019,11,13,12
centro ,23/04/2019,12,21,20
universidad ,23/04/2019,12,17,16
centro ,23/04/2019,13,16,15
universidad ,23/04/2019,13,21,20
centro ,23/04/2019,14,23,22
universidad ,23/04/2019,14,15,14
centro ,23/04/2019,15,39,36
universidad ,23/04/2019,15,15,14
centro ,23/04/2019,16,35,33
universidad ,23/04/2019,16,21,20
centro ,23/04/2019,17,28,26
universidad ,23/04/2019,17,30,28
centro ,23/04/2019,18,69,65
universidad ,23/04/2019,18,33,31
centro ,23/04/2019,19,110,104
universidad ,23/04/2019,19,26,25
centro ,23/04/2019,20,79,74
universidad ,23/04/2019,20,109,106
centro ,23/04/2019,21,147,137
universidad ,23/04/2019,21,71,69
centro ,23/04/2019,22,130,120
universidad ,23/04/2019,22,138,135
centro ,23/04/2019,23,314,285
universidad ,23/04/2019,23,170,167
centro ,24/04/2019,0,129,118
universidad ,24/04/2019,0,165,162
centro ,24/04/2019,1,76,71
universidad ,24/04/2019,1,160,157
centro ,24/04/2019,2,105,96
universidad ,24/04/2019,2,182,179
centro ,24/04/2019,3,120,109
universidad ,24/04/2019,3,248,243
centro ,24/04/2019,4,86,80
universidad ,24/04/2019,4,109,107
centro ,24/04/2019,5,82,75
universidad ,24/04/2019,5,136,134
centro ,24/04/2019,6,77,70
universidad ,24/04/2019,6,63,61
centro ,24/04/2019,7,88,81
universidad ,24/04/2019,7,74,72
centro ,24/04/2019,8,99,92
universidad ,24/04/2019,8,71,69
centro ,24/04/2019,9,116,109
universidad ,24/04/2019,9,82,80
centro ,24/04/2019,10,114,108
universidad ,24/04/2019,10,90,88
centro ,24/04/2019,11,93,86
universidad ,24/04/2019,11,108,106
centro ,24/04/2019,12,81,75
universidad ,24/04/2019,12,99,97
centro ,24/04/2019,13,65,60
universidad ,24/04/2019,13,45,43
centro ,24/04/2019,14,73,68
universidad ,24/04/2019,14,41,39
centro ,24/04/2019,15,126,116
universidad ,24/04/2019,15,36,34
centro ,24/04/2019,16,117,107
universidad ,24/04/2019,16,67,65
centro ,24/04/2019,17,119,109
universidad ,24/04/2019,17,139,136
centro ,24/04/2019,18,152,140
universidad ,24/04/2019,18,120,117
centro ,24/04/2019,19,158,146
universidad ,24/04/2019,19,114,111
centro ,24/04/2019,20,158,145
universidad ,24/04/2019,20,196,193
centro ,24/04/2019,21,163,149
universidad ,24/04/2019,21,187,184
centro ,24/04/2019,22,154,140
universidad ,24/04/2019,22,139,136
centro ,24/04/2019,23,174,160
universidad ,24/04/2019,23,149,146
centro ,25/04/2019,0,139,128
universidad ,25/04/2019,0,184,180
centro ,25/04/2019,1,161,146
universidad ,25/04/2019,1,190,187
centro ,25/04/2019,2,183,169
universidad ,25/04/2019,2,163,160
centro ,25/04/2019,3,181,165
universidad ,25/04/2019,3,192,189
centro ,25/04/2019,4,184,168
universidad ,25/04/2019,4,154,151
centro ,25/04/2019,5,176,160
universidad ,25/04/2019,5,174,170
centro ,25/04/2019,6,133,122
universidad ,25/04/2019,6,215,211
centro ,25/04/2019,7,157,144
universidad ,25/04/2019,7,144,141
centro ,25/04/2019,8,161,148
universidad ,25/04/2019,8,110,108
centro ,25/04/2019,9,168,154
universidad ,25/04/2019,9,138,135
centro ,25/04/2019,10,183,167
universidad ,25/04/2019,10,133,130
centro ,25/04/2019,11,172,158
